date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2021-02-27;Wales;England;40;24;2021 Six Nations Championship;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2021-02-14;Ireland;France;13;15;2021 Six Nations Championship;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Winter;8.2;1.1;13.1;2.5;;170.0;28.8;74.1;1007.7
2021-02-13;Scotland;Wales;24;25;2021 Six Nations Championship;Murrayfield Stadium;Edinburgh;Scotland;FALSE;FALSE;Winter;-0.4;-1.6;0.3;;;158.0;25.4;54.0;1029.6
2021-02-13;England;Italy;41;18;2021 Six Nations Championship;Twickenham;London;England;FALSE;FALSE;Winter;0.6;-4.1;1.7;;;113.0;23.3;46.0;1032.3
2021-02-07;Wales;Ireland;21;16;2021 Six Nations Championship;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2021-02-06;Italy;France;10;50;2021 Six Nations Championship;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Winter;15.3;7.0;21.4;0.0;;138.0;13.9;;1011.6
2021-02-06;England;Scotland;6;11;2021 Six Nations Championship;Twickenham Stadium;London;England;FALSE;FALSE;Winter;5.9;3.3;8.3;1.8;;338.0;8.9;33.3;1006.8
2020-12-06;England;France;22;19;Autumn Nations Cup Final;Twickenham;London;England;FALSE;FALSE;Winter;2.6;0.9;4.9;0.0;;354.0;6.1;22.2;1001.7
2020-12-05;Ireland;Scotland;31;16;Autumn Nations Cup;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Winter;4.8;0.6;7.3;1.0;;337.0;22.2;65.0;996.2
2020-12-05;Wales;Italy;38;18;Autumn Nations Cup;Parc y Scarlets;Llanelli;Wales;FALSE;FALSE;;;;;;;;;;
2020-12-05;Australia;Argentina;16;16;2020 Tri Nations Series;Bankwest Stadium;Sydney;Australia;FALSE;FALSE;Summer;23.3;19.5;26.2;0.0;;50.0;20.1;;1008.8
2020-11-28;Argentina;New Zealand;0;38;2020 Tri Nations Series;McDonald Jones stadium;Newcastle;Australia;TRUE;FALSE;;;;;;;;;;
2020-11-28;France;Italy;36;5;Autumn Nations Cup;Stade de France;Saint-Denis;France;FALSE;FALSE;Autumn;6.3;2.3;11.3;0.0;;31.0;8.7;24.0;1016.9
2020-11-28;Wales;England;13;24;Autumn Nations Cup;Parc y Scarlets;Llanelli;Wales;FALSE;FALSE;;;;;;;;;;
2020-11-22;Scotland;France;15;22;Autumn Nations Cup;Murrayfield;Edinburgh;Scotland;FALSE;FALSE;Autumn;5.1;3.0;7.3;0.0;;250.0;24.6;50.0;1017.8
2020-11-21;England;Ireland;18;7;Autumn Nations Cup;Twickenham;London;England;FALSE;FALSE;Autumn;11.1;9.5;12.3;1.0;;227.0;23.6;50.0;1026.7
2020-11-21;Australia;Argentina;15;15;2020 Tri Nations Series;McDonald Jones Stadium;Newcastle;Australia;FALSE;FALSE;;;;;;;;;;
2020-11-14;New Zealand;Argentina;15;25;2020 Tri Nations Series;Bankwest Stadium;Sydney;Australia;TRUE;FALSE;Spring;21.2;17.3;25.7;1.6;;137.0;16.5;;1009.0
2020-11-14;Italy;Scotland;17;28;Autumn Nations Cup;Stadio Artemio Franchi;Florence;Italy;FALSE;FALSE;Autumn;4.0;2.2;6.4;0.0;;;11.5;;
2020-11-13;Ireland;Wales;32;9;Autumn Nations Cup;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Autumn;8.2;6.1;10.8;0.3;;217.0;19.4;44.5;1004.2
